Date,Open,High,Low,Close,Adj Close,Volume
2022-10-28,60.770000,62.029999,60.070000,62.009998,60.769928,11972300
2022-10-31,61.590000,62.270000,61.070000,61.549999,60.319126,10802800
2022-11-01,63.259998,63.430000,61.580002,61.580002,60.348526,11561900
2022-11-02,62.500000,62.889999,60.520000,60.520000,59.309727,16547200
2022-11-03,60.000000,60.889999,59.430000,60.279999,59.074524,11040900
2022-11-04,61.509998,62.500000,61.020000,62.480000,61.230526,14662800
2022-11-07,62.619999,62.930000,61.970001,62.759998,61.504929,8507100
2022-11-08,64.370003,65.750000,64.220001,65.019997,63.719734,14102800
2022-11-09,66.529999,66.599998,64.949997,65.000000,63.700134,15086800
2022-11-10,67.739998,70.870003,67.320000,70.839996,69.423340,21367900
2022-11-11,72.739998,74.599998,72.379997,73.830002,72.353546,15524700
2022-11-14,73.239998,73.680000,72.239998,72.800003,71.344154,11575300
2022-11-15,81.919998,82.930000,80.010002,80.459999,78.850960,48742400
2022-11-16,80.559998,80.570000,78.900002,79.449997,77.861160,24006600
2022-11-17,79.300003,82.940002,78.690002,81.480003,79.850563,24278400
2022-11-18,82.779999,82.839996,81.000000,82.269997,80.624763,18578400
2022-11-21,80.809998,81.029999,79.470001,79.930000,78.331573,18659700
2022-11-22,81.349998,83.190002,81.230003,82.540001,80.889374,16504700
2022-11-23,82.440002,82.949997,81.730003,81.970001,80.330772,14683800
2022-11-25,82.139999,82.370003,81.400002,81.400002,79.772171,5908300
2022-11-28,80.269997,81.080002,78.889999,79.220001,77.635765,13214200
2022-11-29,79.910004,80.209999,78.959999,79.330002,77.743568,11502300
2022-11-30,80.629997,83.430000,80.470001,82.980003,81.320572,21667300
2022-12-01,83.040001,83.629997,81.139999,82.680000,81.026566,15975100
2022-12-02,81.809998,82.160004,81.150002,81.500000,79.870163,10519800
2022-12-05,81.940002,82.180000,80.949997,81.620003,79.987770,11523300
2022-12-06,81.400002,81.440002,79.160004,79.559998,77.968964,13992100
2022-12-07,79.000000,79.709999,78.589996,79.239998,77.655365,14925300
2022-12-08,79.449997,80.970001,79.099998,80.800003,79.184174,11197500
2022-12-09,80.849998,82.190002,80.690002,80.690002,79.076370,13787900
2022-12-12,79.790001,80.430000,78.800003,80.430000,78.821564,11516600
2022-12-13,82.089996,82.089996,79.629997,80.510002,78.899971,16938000
2022-12-14,80.820000,81.510002,79.519997,80.019997,78.419762,17910000
2022-12-15,79.209999,79.209999,77.389999,77.610001,76.489059,17080200
2022-12-16,77.610001,78.059998,76.230003,76.300003,75.197975,11929100
2022-12-19,76.919998,77.120003,75.760002,76.099998,75.000870,12561300
2022-12-20,75.110001,76.199997,74.900002,75.620003,74.527802,12080600
2022-12-21,75.860001,77.419998,75.769997,77.139999,76.025848,10806100
2022-12-22,76.279999,76.430000,74.019997,75.279999,74.192711,13019700
2022-12-23,74.889999,75.349998,74.169998,74.889999,73.808350,7452600
2022-12-27,74.330002,74.739998,74.160004,74.320000,73.246582,8974800
2022-12-28,74.190002,74.550003,72.839996,73.059998,72.004776,10275700
2022-12-29,74.349998,76.040001,74.150002,76.000000,74.902313,11142500
2022-12-30,74.290001,74.570000,73.650002,74.489998,73.414124,7784100
2023-01-03,75.849998,75.970001,73.769997,74.029999,72.960762,9276200
2023-01-04,74.989998,76.610001,74.470001,76.320000,75.217690,12316400
2023-01-05,76.000000,76.440002,75.339996,75.730003,74.636223,10039200
2023-01-06,76.500000,78.739998,76.150002,78.070000,76.942413,13744100
2023-01-09,80.559998,81.220001,80.059998,80.309998,79.150063,22247600
2023-01-10,80.510002,81.580002,80.459999,81.269997,80.096191,10269000
2023-01-11,81.570000,81.889999,80.629997,81.779999,80.598824,11771400
2023-01-12,84.959999,88.830002,84.419998,87.000000,85.743446,36086800
2023-01-13,85.410004,87.099998,84.900002,86.800003,85.546333,18719900
2023-01-17,86.220001,89.730003,86.160004,88.989998,87.704697,21850000
2023-01-18,90.480003,91.220001,89.360001,89.470001,88.177765,19209800
2023-01-19,89.029999,90.010002,88.260002,88.400002,87.123215,13651100
2023-01-20,90.000000,91.029999,89.199997,91.029999,89.715233,14287200
2023-01-23,91.760002,95.730003,91.720001,95.660004,94.278358,22875100
2023-01-24,95.790001,98.000000,91.550003,94.559998,93.194237,11370500
2023-01-25,92.680000,93.000000,91.120003,92.410004,91.075302,14147300
2023-01-26,93.889999,94.279999,92.639999,93.449997,92.100273,15759400
2023-01-27,92.820000,94.120003,92.239998,93.300003,91.952446,13646600
2023-01-30,92.849998,94.250000,92.580002,93.129997,91.784897,14079800
2023-01-31,91.000000,92.760002,90.000000,92.730003,91.390678,13342100
2023-02-01,93.000000,95.769997,92.570000,94.739998,93.371643,16788500
2023-02-02,96.599998,97.500000,95.839996,96.650002,95.254066,14925300
2023-02-03,95.040001,96.949997,94.309998,94.660004,93.292809,12242200
2023-02-06,91.800003,92.050003,90.739998,91.830002,90.503677,12425200
2023-02-07,91.779999,94.699997,91.680000,94.550003,93.184395,15258900
2023-02-08,95.019997,95.940002,94.230003,94.279999,92.918297,12899700
2023-02-09,96.000000,98.570000,95.620003,96.690002,95.293488,16997400
2023-02-10,95.949997,96.500000,94.250000,95.370003,93.992554,11511400
2023-02-13,95.470001,96.389999,94.910004,96.110001,94.721863,7803500
2023-02-14,95.820000,98.989998,95.220001,97.959999,96.545135,15345100
2023-02-15,92.330002,93.680000,90.769997,92.760002,91.420250,30208300
2023-02-16,90.980003,91.790001,89.879997,90.820000,89.508263,15568400
2023-02-17,89.970001,90.300003,88.940002,90.099998,88.798660,11235300
2023-02-21,88.379997,89.419998,87.480003,87.639999,86.374199,14007600
2023-02-22,87.750000,88.089996,86.660004,86.830002,85.575897,10106400
2023-02-23,90.300003,91.989998,89.459999,90.080002,88.778961,15468300
